Quote on 1/12/16 15:53:16

NYSE
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
PIM,4.43,N/A,"instrument=PIM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"51,926",0,4.43,4.49,1,6,4.43,4.45,4.43,4.96,4.375,"100,183,000",PUTNAM MASTER INTER INCOME TR SH BEN INT
PIR,4.41,Range Bound,"instrument=PIR
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.61%,"1,960,364",+.07,4.01,4.64,3,13,4.40,4.52,4.32,17.52,4.25,"83,668,036",PIER 1 IMPORTS INC COM
PIY,26.33,N/A,"instrument=PIY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.57%,"2,741",-.15,25.52,26.90,1,0,26.85,26.85,26.25,27.40,24.35,"1,380,000",PREFERREDPLUS TRUST PFD 8.375% SERIES CZN1 CALL
PJA,<empty>,N/A,"instrument=PJA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,PREFERREDPLUS TRUST LIQUIDATION 2/19/14
PJC,35.34,Downtrend,"instrument=PJC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.93%,"126,555",-.33,32.32,38.37,1,1,36.00,36.00,34.70,57.455,33.17,"15,187,330",PIPER JAFFRAY COMPANIES COM
PJH,25.97,N/A,"instrument=PJH
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.23%,"31,358",-.06,25.93,26.01,12,0,26.13,26.13,25.93,26.40,24.60,0,PRUDENTIAL FINANCIAL INC PFD 5.75% QTRLY 12/15/52 CALL
PJL,<empty>,N/A,"instrument=PJL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,PREFERREDPLUS TRUST PFD 7.625% CALLABLE SER VER1
PJS,26.70,N/A,"instrument=PJS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.75%,"3,227",+.20,26.02,26.70,1,0,26.70,26.70,26.421,29.34,24.60,0,PREFERREDPLUS TRUST PFD 7.55% SER FAR CALLABLE
PKD,1.40,Downtrend,"instrument=PKD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.76%,"640,640",-.07,1.36,1.43,1,1,1.51,1.54,1.36,4.55,1.45,"123,179,100",PARKER DRILLING CO COM
PKE,14.35,Range Bound,"instrument=PKE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.90%,"53,319",-.13,11.88,16.79,1,1,14.66,14.72,14.0732,23.63,14.15,"20,253,471",PARK ELECTROCHEMICAL CORP COM
PKG,59.50,Range Bound,"instrument=PKG
trend=[GREEN_OVER_RED, RED_OVER_GREEN, RED, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, BRIGHT_RED, GREEN, RED, GREEN]
headPointer=4
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",0.00%,"934,189",0,59.09,60.23,3,3,60.23,60.87,58.41,84.88,58.22,"97,002,435",PACKAGING CORP OF AMERICA COM
PKH,<empty>,N/A,"instrument=PKH
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,PREFERREDPLUS TRUST 25:1 EXC 2/19/14 74913EAJ9
PKI,48.55,Range Bound,"instrument=PKI
trend=[RED_OVER_GREEN, RED, RED, RED, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, RED, RED, GREEN_OVER_RED]
headPointer=5
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.68%,"733,373",+.80,45.70,51.00,3,3,48.17,48.68,47.75,54.52,42.265,"111,934,189",PERKINELMER INC COM
PKO,20.45,N/A,"instrument=PKO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.97%,"60,530",-.20,18.36,23.99,49,1,20.69,20.69,20.35,27.37,19.98,0,PIMCO INCOME OPP COMMON
PKX,32.60,Range Bound,"instrument=PKX
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.51%,"458,742",-.50,29.83,35.37,2,2,33.44,33.44,32.48,66.86,32.81,"348,747,340",POSCO ADR
PKY,14.23,Range Bound,"instrument=PKY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.13%,"584,692",-.31,11.80,16.64,1,1,14.72,14.72,14.18,19.00,14.52,"115,841,900",PARKWAY PROPERTIES INC (MD) CM
PL,147.45,N/A,"instrument=PL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,111.36,127.84,0,0,0,0,0,149.51,100.03,0,PROTECTIVE LIFE CORP CSH MGR $70.00/SH 02/02/15
PLpB,<empty>,N/A,"instrument=PLpB
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,PLC CAPITAL TRUST V TOPRS
PLpC,26.29,N/A,"instrument=PLpC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.64%,"27,463",-.17,26.29,26.32,1,2,26.40,26.40,26.06,26.91,25.0206,0,PROTECTIVE LIFE CORP SUB DEBENTURES 6.25% 5/15/42
PLD,40.69,Range Bound,"instrument=PLD
trend=[null, GREEN, RED, RED, GREEN, RED, GREEN, RED, RED, GREEN]
headPointer=9
separatorPointer=9
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.80%,"3,781,253",-.33,40.49,44.15,4,1,41.46,41.46,40.33,47.56,36.26,"524,311,000",PROLOGIS COM
PLpE,25.73,N/A,"instrument=PLpE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.62%,"10,232",-.16,25.73,25.85,5,6,25.84,25.88,25.725,26.408,24.8925,0,PROTECTIVE LIFE CORP PFD 6% DIV CALLABLE
PLL,0,N/A,"instrument=PLL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,131.96,120.63,0,0,0,0,0,0,0,"106,848,000",PALL CORP CSH MRG $127.20/SH 8/31/15
PLOW,18.20,Downtrend,"instrument=PLOW
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.87%,"124,737",-.16,15.73,18.80,1,24,18.47,18.618,18.05,24.475,18.18,"22,387,797",DOUGLAS DYNAMICS INC COM
PLT,44.35,Range Bound,"instrument=PLT
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.25%,"157,340",-.11,40.57,48.13,1,1,44.94,45.04,43.71,58.73,43.69,"33,681,183",PLANTRONICS INC COM
PLX,.8800,Downtrend,"instrument=PLX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.30%,"195,251",-.03,.8000,.9122,3,132,.8900,.8999,.8110,2.4000,.7399,"99,800,397",PROTALIX BIOTHERAPUTICS INC COM
PM,89.09,Range Bound,"instrument=PM
trend=[null, RED, RED, RED, RED, RED_OVER_GREEN, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.09%,"4,619,159",-.08,88.73,89.05,1,1,89.61,89.88,88.16,90.27,75.27,"1,549,295,700",PHILIP MORRIS INTL COM
PMC,31.22,Range Bound,"instrument=PMC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.17%,"290,454",-.37,28.55,33.88,1,1,32.04,32.34,30.935,36.96,21.9499,"30,454,732",PHARMERICA CORP COM
PMCA,<empty>,N/A,"instrument=PMCA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,PROVIDENT MTG CAP ASSOCS INC COM
PMF,15.75,N/A,"instrument=PMF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.31%,"84,502",-.0487,15.19,16.05,18,18,15.69,15.83,15.66,16.06,13.6102,"23,827,000",PIMCO MUNI INCOME FUND CLOSED-END FUND
PML,12.71,N/A,"instrument=PML
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.43%,"142,768",-.055,12.69,12.84,1,26,12.74,12.81,12.69,12.85,11.46,"57,676,000",PIMCO MUNI INCOME FD II CLOSED END
PMM,7.46,N/A,"instrument=PMM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.27%,"91,514",+.02,7.30,7.56,38,38,7.44,7.48,7.43,7.47,6.86,"47,206,000",PUTNAM MANAGED MUN INCOME TR COM
PMO,12.40,N/A,"instrument=PMO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.24%,"65,155",+.03,12.17,12.60,22,22,12.32,12.40,12.32,12.62,11.47,"16,157,000",PUTNAM MUNICIPAL OPPRTNS TR SHARES OF BENIFICIAL INTEREST
PMT,14.92,Range Bound,"instrument=PMT
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-3.43%,"877,684",-.53,14.83,16.95,1,3,15.53,15.53,14.6601,23.08,14.331,"73,767,435",PENNYMAC MTG INVEST TRUST COM
PMX,11.64,N/A,"instrument=PMX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.41%,"115,689",-.0477,11.47,11.87,23,23,11.73,11.7399,11.6045,11.74,10.53,"28,857,000",PIMCO MUNI INCM FD III COM
PNC,89.00,Range Bound,"instrument=PNC
trend=[null, RED, GREEN, RED, GREEN, RED, GREEN, RED, null, null]
headPointer=7
separatorPointer=7
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.82%,"2,104,686",+.72,86.91,88.98,1,1,89.16,89.40,87.664,100.52,81.84,"507,805,790",PNC FINL CORP COM
PNF,12.04,N/A,"instrument=PNF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.48%,"19,761",+.057,12.01,12.04,1,4,12.03,12.05,11.97,12.10,10.92,"7,241,000",PIMCO NEW YORK MUNI INC FD CLOSED END FUND
