Quote on 1/12/16 15:53:53

S&P 500
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
RF,8.74,Range Bound,"instrument=RF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.69%,"18,781,154",+.06,8.70,8.77,136,2,8.78,8.82,8.5201,10.865,8.54,"1,305,468,690",REGIONS FINANCIAL CORP COM
RHI,44.02,Range Bound,"instrument=RHI
trend=[RED_OVER_GREEN, RED_OVER_GREEN, RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED]
headPointer=9
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.50%,"1,060,840",+.22,41.51,46.93,4,4,44.15,44.33,43.31,63.27,42.96,"132,686,250",ROBERT HALF INTL INC COM
RHT,78.68,Range Bound,"instrument=RHT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.51%,"1,423,023",+.40,76.00,83.85,1,4,78.91,79.20,77.60,84.44,62.43,"182,625,150",RED HAT INC COM
RIG,10.28,Downtrend,"instrument=RIG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.58%,"16,642,345",-.06,10.25,10.42,1,1,10.64,10.68,9.78,21.90,10.16,"363,735,540",TRANSOCEAN LTD ORD
RL,103.96,Range Bound,"instrument=RL
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.88%,"1,070,956",+1.92,98.68,109.31,1,2,103.60,105.87,101.84,177.53,100.37,"84,694,523",RALPH LAUREN CORP COM
ROK,94.32,Range Bound,"instrument=ROK
trend=[GREEN_OVER_RED, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN]
headPointer=4
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.93%,"1,089,518",+.87,90.79,98.02,2,2,94.76,94.97,92.75,127.05,92.45,"132,015,340",ROCKWELL AUTOMATION INC COM
ROP,176.06,Range Bound,"instrument=ROP
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.49%,"553,140",+2.59,167.08,185.17,1,1,175.18,176.88,173.24,195.93,144.615,"100,805,189",ROPER TECHNOLOGIES INC COM
ROST,54.45,Range Bound,"instrument=ROST
trend=[null, GREEN, RED, RED, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+3.54%,"3,872,740",+1.86,54.21,54.47,1,1,53.52,54.86,53.408,56.68,43.47,"405,005,040",ROSS STORES INC COM
RRC,23.25,Range Bound,"instrument=RRC
trend=[RED, RED, RED, RED, RED, RED, RED, RED, RED, RED]
headPointer=9
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-6.89%,"9,444,201",-1.72,22.96,28.19,1,3,25.59,25.62,22.67,65.53,20.79,"169,369,680",RANGE RESOURCES CORP COM
RSG,44.66,Range Bound,"instrument=RSG
trend=[RED, RED, GREEN, RED, GREEN, RED, RED, GREEN, RED, GREEN]
headPointer=3
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.36%,"2,310,186",+.16,44.45,44.66,2,1,44.79,44.88,44.22,45.35,38.95,"347,238,340",REPUBLIC SERVICES INC COM
RTN,124.90,Range Bound,"instrument=RTN
trend=[GREEN, RED, RED, RED, GREEN, RED, RED, RED, GREEN, RED]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.11%,"1,766,481",+1.37,124.41,127.78,1,2,124.02,125.19,123.45,129.99,95.32,"301,098,000",RAYTHEON CO COM
SBUX,59.46,Range Bound,"instrument=SBUX
trend=[GREEN, BRIGHT_RED, GREEN, GREEN, RED, GREEN, GREEN, BRIGHT_RED, RED, GREEN]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+2.84%,"12,301,648",+1.64,59.23,59.30,5,7,58.39,59.53,58.18,64.00,39.50,"1,484,800,000",STARBUCKS CORP COM
SCG,60.62,Range Bound,"instrument=SCG
trend=[RED_OVER_GREEN, GREEN, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN, GREEN, GREEN_OVER_RED]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.44%,"1,001,620",-.27,59.72,60.98,2,2,61.08,61.23,60.03,65.57,49.89,"142,916,920",SCANA CORP COM
SCHW,29.24,Range Bound,"instrument=SCHW
trend=[RED, RED, RED, RED, RED, GREEN, RED, RED, RED, RED]
headPointer=9
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.74%,"10,859,159",+.50,29.04,32.73,6,6,29.04,29.42,28.81,35.72,25.43,"1,316,523,360",SCHWAB CHARLES CORP COM
SE,24.23,Uptrend,"instrument=SE
trend=[GREEN, RED, RED, RED, GREEN, RED, GREEN, RED, GREEN, RED]
headPointer=2
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.50%,"7,992,718",+.12,24.04,24.19,1,1,24.52,24.69,23.289,38.47,21.43,"671,410,740",SPECTRA ENERGY CORP COM
SEE,41.67,Range Bound,"instrument=SEE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.87%,"1,317,455",+.36,38.56,44.72,1,1,41.73,41.96,41.17,55.84,38.42,"197,423,850",SEALED AIR CORP COM
SHW,246.42,Range Bound,"instrument=SHW
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.84%,"1,010,044",+4.45,237.33,259.20,1,1,243.85,246.92,243.06,294.35,218.27,"93,100,515",SHERWIN WILLIAMS CO COM
SIAL,139.76,Range Bound,"instrument=SIAL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,139.97,139.98,0,0,0,0,0,140.03,135.33,"119,992,547",SIGMA ALDRICH CORP CSH MRG $140/SH 11/19/15
SIG,126.95,Uptrend,"instrument=SIG
trend=[null, RED, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.61%,"996,076",+.77,124.01,126.89,2,4,127.50,129.645,124.46,152.27,114.7701,"79,531,968",SIGNET JEWELERS LIMITED COM
SJM,121.67,Range Bound,"instrument=SJM
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.77%,"883,562",+.93,115.46,127.93,2,2,121.60,122.16,120.25,125.33,99.77,"119,674,908",SMUCKER J M CO COM
SLB,64.74,Range Bound,"instrument=SLB
trend=[null, RED, GREEN, RED, RED, GREEN, RED, GREEN, RED, GREEN]
headPointer=9
separatorPointer=9
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.14%,"10,167,838",-.09,63.75,64.68,2,5,65.95,66.11,63.19,95.13,63.79,"1,261,103,710",SCHLUMBERGER LTD COM
SLG,102.97,Range Bound,"instrument=SLG
trend=[RED, GREEN, GREEN, GREEN, RED, GREEN, GREEN, GREEN, RED, GREEN]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.66%,"886,900",-1.74,98.85,108.28,2,1,105.18,105.42,102.50,135.81,99.97,"99,703,055",SL GREEN REALTY CORP COM
SNA,164.83,Range Bound,"instrument=SNA
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.09%,"383,055",+1.78,160.00,173.28,3,2,164.25,165.55,162.53,174.52,129.14,"58,073,994",SNAP-ON INC COM
SNDK,74.79,Range Bound,"instrument=SNDK
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.05%,"2,861,788",+.78,73.06,75.46,1,2,74.60,74.86,73.40,87.43,44.28,"200,691,490",SANDISK CORP COM
SNI,54.48,Range Bound,"instrument=SNI
trend=[GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED]
headPointer=3
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.30%,"1,308,138",+.70,53.16,57.77,3,3,54.05,54.92,53.685,76.59,47.62,"128,566,787",SCRIPPS NETWORKS INTERACTIVE COM
SO,46.45,Range Bound,"instrument=SO
trend=[RED, GREEN_OVER_RED, RED_OVER_GREEN, RED, GREEN, RED, GREEN_OVER_RED, RED, RED, RED]
headPointer=5
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.83%,"5,762,275",-.39,46.25,46.44,2,1,46.92,46.92,46.00,53.16,41.40,"908,938,920",SOUTHERN CO COM
SPG,185.54,Range Bound,"instrument=SPG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.63%,"1,380,016",-1.17,176.30,185.54,2,2,187.46,187.46,184.57,208.14,170.99,"309,418,080",SIMON PROPERTY GROUP COM
SPLS,9.44,Range Bound,"instrument=SPLS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.11%,"7,715,888",-.01,9.40,9.47,7,7,9.45,9.72,9.26,19.40,9.025,"643,622,870",STAPLES INC COM
SRCL,121.02,Range Bound,"instrument=SRCL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.34%,"637,148",+1.60,117.40,127.21,8,1,119.52,121.44,118.35,151.57,110.56,"84,984,775",STERICYCLE INC COM
SRE,88.94,Range Bound,"instrument=SRE
trend=[RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN]
headPointer=6
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.84%,"2,002,777",-.75,85.75,92.77,2,2,90.82,90.85,88.40,116.21,86.72,"248,210,450",SEMPRA ENERGY COM
STI,39.39,Range Bound,"instrument=STI
trend=[null, RED, RED, RED, RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.76%,"4,401,047",+.68,39.16,39.36,1,1,39.46,39.51,38.61,45.84,36.52,"509,612,980",SUNTRUST BKS INC COM
STJ,59.19,Range Bound,"instrument=STJ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.52%,"3,120,964",+2.01,59.07,60.92,15,1,57.65,59.35,57.64,80.84,56.30,"282,660,280",ST JUDE MED INC COM
STT,59.35,Range Bound,"instrument=STT
trend=[RED, RED, GREEN, RED_OVER_GREEN, RED, RED, RED, RED, GREEN_OVER_RED, RED_OVER_GREEN]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.56%,"2,613,290",+.91,58.95,60.12,2,2,59.27,59.49,58.15,81.26,57.455,"403,486,110",STATE STREET CORP COM
STX,31.57,Range Bound,"instrument=STX
trend=[RED, GREEN, RED, RED, GREEN, RED, GREEN, RED, GREEN, RED]
headPointer=2
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.70%,"6,089,873",+.22,31.31,31.54,1,1,31.72,31.94,30.415,66.91,30.65,"299,031,870",SEAGATE TECHNOLOGY ORD
STZ,147.04,Range Bound,"instrument=STZ
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, RED, null, null]
headPointer=7
separatorPointer=7
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.01%,"1,317,011",-.01,140.50,147.00,1,2,148.19,148.20,144.66,154.31,105.21,"199,241,580",CONSTELLATION BRANDS INC CL A
SWK,97.91,Range Bound,"instrument=SWK
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.68%,"1,502,127",+1.62,95.76,102.96,1,2,97.22,98.37,96.49,111.18,90.08,"149,726,320",STANLEY BLACK & DECKER INC COM
SWKS,66.63,Downtrend,"instrument=SWKS
trend=[GREEN, RED, GREEN, RED, GREEN, RED, RED, RED, RED, RED]
headPointer=7
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.88%,"3,351,446",+.58,66.12,66.45,1,1,66.72,67.81,65.06,112.88,64.93,"191,151,090",SKYWORKS SOLUTIONS INC COM
SWN,5.94,Range Bound,"instrument=SWN
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-9.17%,"27,791,935",-.60,5.88,5.94,1,2,6.56,6.63,5.56,29.61,5.00,"384,478,570",SOUTHWESTERN ENERGY CO COM
SYK,88.73,Range Bound,"instrument=SYK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.37%,"1,535,116",+1.20,86.48,95.24,1,1,88.03,89.10,87.6382,105.3357,86.68,"375,522,230",STRYKER CORP COM
SYMC,20.65,Range Bound,"instrument=SYMC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.42%,"5,953,096",+.29,20.56,20.63,7,7,20.51,20.77,20.335,27.32,19.07,"675,526,100",SYMANTEC CORP COM
SYY,40.70,Range Bound,"instrument=SYY
trend=[null, RED, RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.45%,"4,563,971",+.58,40.50,40.70,1,1,40.31,40.71,40.2111,42.03,35.45,"564,515,130",SYSCO CORP COM
T,33.90,Range Bound,"instrument=T
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.15%,"24,060,333",-.05,33.80,33.84,14,4,34.10,34.19,33.66,36.45,30.97,"6,152,000,000",AT&T INC COM
TAP,89.58,Range Bound,"instrument=TAP
trend=[RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN]
headPointer=2
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.25%,"2,248,924",+1.11,87.31,93.46,1,1,89.08,89.70,88.52,95.74,63.91,"184,514,120",MOLSON COORS BREWING CL B
TDC,23.05,Downtrend,"instrument=TDC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.70%,"1,845,530",+.16,19.14,23.04,1,1,23.19,23.41,22.71,47.03,22.55,"133,000,000",TERADATA CORP COM
TE,26.97,Range Bound,"instrument=TE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.19%,"1,770,971",+.05,26.95,27.30,1,5,26.92,27.00,26.69,27.23,17.60,"235,230,760",TECO ENERGY INC COM
TEL,58.46,Range Bound,"instrument=TEL
trend=[RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN]
headPointer=7
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.93%,"2,904,136",+.54,54.64,62.37,3,2,58.53,58.64,57.62,73.73,54.32,"386,305,890",TE CONNECTIVITY LTD COM
TGNA,23.64,Range Bound,"instrument=TGNA
trend=[null, RED, GREEN, RED, RED, RED, GREEN, RED, GREEN, RED]
headPointer=9
separatorPointer=9
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+2.38%,"2,063,582",+.55,23.48,23.65,6,1,23.33,23.94,23.2914,33.40,21.30,"221,692,610",TEGNA INC COM
TGT,73.36,Range Bound,"instrument=TGT
trend=[RED, GREEN, RED, GREEN, RED, GREEN, RED, RED, RED, GREEN]
headPointer=8
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.30%,"4,834,568",+.94,73.01,73.38,1,1,72.97,73.55,72.63,85.81,68.15,"616,051,610",TARGET CORP COM
THC,24.23,Downtrend,"instrument=THC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-6.01%,"3,856,198",-1.55,22.51,24.99,1,1,26.12,27.04,23.185,60.93,24.96,"99,669,208",TENET HEALTHCARE CORP COM
TIF,68.41,Range Bound,"instrument=TIF
trend=[null, RED, RED, RED, RED, RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.84%,"1,501,912",+.57,67.97,71.87,1,1,68.58,69.325,67.26,96.43,67.01,"128,211,842",TIFFANY & CO NEW COM
TJX,68.92,Range Bound,"instrument=TJX
trend=[null, GREEN, RED_OVER_GREEN, RED, RED, RED, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.65%,"2,765,288",+1.12,68.73,68.90,1,2,68.81,69.71,68.01,76.93,63.53,"669,529,130",TJX COMPANIES INC CM
TMK,54.63,Range Bound,"instrument=TMK
trend=[RED_OVER_GREEN, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED, GREEN, GREEN_OVER_RED, RED_OVER_GREEN]
headPointer=7
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.35%,"972,941",+.19,52.43,57.97,2,2,54.85,55.03,54.22,63.2599,49.77,"123,330,265",TORCHMARK CORP COM
TMO,136.97,Range Bound,"instrument=TMO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.55%,"3,088,036",+2.09,132.24,139.64,1,2,136.29,137.90,135.54,143.65,117.10,"399,097,700",THERMO FISHER SCIENTIFIC COM
TRIP,77.36,Range Bound,"instrument=TRIP
trend=[RED, RED, RED, GREEN, RED, RED, RED, RED, GREEN, GREEN]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.53%,"1,186,772",+.41,76.83,77.35,2,1,77.18,78.80,76.34,94.00,62.24,"144,186,700",TRIPADVISOR INC COM
TROW,66.71,Range Bound,"instrument=TROW
trend=[null, RED, RED, RED, RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+2.61%,"2,915,662",+1.70,66.29,66.71,2,1,65.73,66.82,65.16,85.22,64.34,"251,095,370",PRICE T ROWE GROUP INC COM
TRV,107.98,Range Bound,"instrument=TRV
trend=[RED_OVER_GREEN, RED, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, GREEN_OVER_RED, RED_OVER_GREEN, RED, GREEN, GREEN_OVER_RED]
headPointer=6
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.11%,"2,116,010",+1.19,102.77,112.02,1,1,107.69,108.20,106.59,116.48,95.21,"304,218,800",THE TRAVELERS COMPANIES INC COM
