Quote on 1/12/16 15:55:27

NASDAQ
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
KRED,.0640,N/A,"instrument=KRED
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+4.23%,"1,646,771",+.0026,.0589,.0680,"20,000","10,000",.0615,.0666,.0568,.2400,.0500,"104,041,391",KONARED CORP COM
KPTI,8.16,Downtrend,"instrument=KPTI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.49%,"297,780",+.04,7.85,19.89,5,1,8.15,8.835,7.7802,35.65,8.00,"35,732,213",KARYOPHARM THERAPEUTICS INC COM
KPOC,.127,N/A,"instrument=KPOC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.79%,"173,687",+.001,.127,.142,"5,000","5,000",.140,.169,.127,.940,.050,332,KIMBERLY PARRY ORGANICS CORP COM
KOPN,2.28,Downtrend,"instrument=KOPN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.87%,"304,061",-.02,2.25,2.32,4,1,2.32,2.37,2.24,4.45,2.26,"66,467,861",KOPIN CORP COM
KOOL,.1490,N/A,"instrument=KOOL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.32%,"76,996",-.002,.1100,.2666,89,20,.1500,.1510,.1400,1.1100,.1400,"40,673,265",CESCA THERAPEUTICS INC COM
KONA,15.23,Range Bound,"instrument=KONA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.99%,"212,430",-.80,12.61,17.86,0,1,16.07,16.70,15.09,28.66,12.20,"11,278,460",KONA GRILL INC COM
KODK,9.31,Downtrend,"instrument=KODK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.61%,"406,962",-.45,8.00,11.00,4,1,9.76,9.98,8.73,20.97,9.65,"41,990,867",EASTMAN KODAK CO COM
KNOP,11.74,Range Bound,"instrument=KNOP
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-9.97%,"175,230",-1.30,11.51,13.73,1,1,12.68,12.84,11.4001,26.49,10.38,"22,375,000",KNOT OFFSHORE PARTNERS LP COM
KNDI,8.86,Downtrend,"instrument=KNDI
trend=[null, GREEN, RED, GREEN, RED, RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.61%,"626,085",+.14,8.77,9.32,1,6,9.22,9.35,8.37,14.85,5.05,"46,964,855",KANDI TECHNOLOGIES GROUP INC COM
KMPH,16.38,N/A,"instrument=KMPH
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.67%,"47,796",-.11,13.17,22.50,1,11,16.52,17.64,15.40,26.15,10.90,"14,448,826",KEMPHARM INC COM
KLXI,28.13,Range Bound,"instrument=KLXI
trend=[null, GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.64%,"542,863",-.47,23.32,36.03,0,5,28.80,28.96,27.715,46.16,27.655,"52,779,093",KLX INC COM
KLIC,10.21,Downtrend,"instrument=KLIC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.45%,"496,010",-.15,8.45,11.94,1,1,10.46,10.51,10.10,16.54,8.80,"70,694,772",KULICKE & SOFFA INDS INC COM
KLDX,1.97,N/A,"instrument=KLDX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.90%,"94,470",-.08,1.55,2.05,16,1,1.99,2.04,1.9685,2.94,1.76,"121,470,023",KLONDEX MINES LTD COM
KIRK,12.60,Downtrend,"instrument=KIRK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.25%,"252,823",-.16,10.44,14.78,1,1,12.92,13.9989,12.59,29.52,12.47,"17,024,597",KIRKLAND'S INC COM
KINS,8.3137,N/A,"instrument=KINS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.96%,"31,371",-.1663,8.12,8.51,3,0,8.34,8.5244,8.14,10.00,6.11,"7,335,110",KINGSTONE COMPANIES INC COM
KING,17.84,Range Bound,"instrument=KING
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.17%,"5,772,345",+.03,17.77,17.98,2,1,17.86,17.87,17.84,18.00,11.63,"315,940,660",KING DIGITAL ENTERTAINMENT PLC ORD IE00BKJ9QQ58
KGNX,.140,N/A,"instrument=KGNX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+27.27%,"223,407",+.03,.135,.155,"5,000","5,000",.135,.145,.125,.850,.095,"52,000,000",KOLLAGENX CORP COM
KGJI,.579,N/A,"instrument=KGJI
trend=[null, GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-7.36%,"115,003",-.046,.502,.732,1,1,.6499,.6499,.560,1.450,.4901,"65,963,501",KINGOLD JEWELRY INC COM
KFRC,22.80,Range Bound,"instrument=KFRC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.74%,"140,011",-.17,18.91,22.70,0,1,23.13,23.255,22.45,29.33,20.32,"28,920,792",K.FORCE INC COM
KEYW,5.12,Range Bound,"instrument=KEYW
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.97%,"319,067",-.05,4.24,6.03,1,1,5.27,5.69,4.95,12.59,4.96,"39,934,665",KEYW HOLDING CORP COM
KEYS,25.25,Range Bound,"instrument=KEYS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.28%,"1,124,755",+.32,22.14,29.61,1,1,25.15,25.41,24.65,38.99,24.80,"170,850,540",KEYSIGHT TECHNOLOGIES INC COM
KERX,3.64,Downtrend,"instrument=KERX
trend=[null, RED, GREEN, RED, GREEN, RED, GREEN, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+3.70%,"2,064,365",+.13,3.02,3.64,3,1,3.61,3.88,3.48,14.99,3.04,"105,192,587","KERYX BIOPHARMACEUTICAL, INC COM"
KCAP,3.46,Range Bound,"instrument=KCAP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.42%,"301,926",-.16,3.42,3.48,1,1,3.60,3.60,3.365,7.68,3.58,"37,100,825",KCAP FINANCIAL INC COM
KBAL,9.86,Range Bound,"instrument=KBAL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.65%,"100,199",+.16,8.18,11.56,1,1,9.83,9.89,9.63,12.99,8.51,"37,415,671",KIMBALL INTL INC CLASS B COM
KAYS,.0819,N/A,"instrument=KAYS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.67%,"168,982",+.0029,.0790,.0819,"20,000","10,000",.0790,.0824,.0790,.1500,.0500,"88,855,991",KAYA HOLDINGS INC COM
KATE,16.73,Range Bound,"instrument=KATE
trend=[null, RED, RED, GREEN, RED, GREEN, RED, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+3.21%,"3,128,938",+.52,16.57,16.72,1,1,16.49,16.91,16.40,35.75,16.005,"127,694,546",KATE SPADE & COMPANY COM
KANG,21.64,Range Bound,"instrument=KANG
trend=[null, RED, GREEN, RED, GREEN, RED, GREEN, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.73%,"751,417",-.16,21.11,21.94,1,1,21.80,22.02,21.50,22.67,10.20,"68,723,078",IKANG HEALTHCARE GROUP INC ADR
JRJC,5.37,Downtrend,"instrument=JRJC
trend=[null, GREEN, RED, GREEN, RED, GREEN, RED, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.51%,"180,508",+.08,5.31,5.46,3,2,5.35,5.522,5.2566,6.85,2.9001,"22,483,586",CHINA FINANCE ONLINE CO ADR
JPEP,4.345,N/A,"instrument=JPEP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-6.96%,"50,030",-.325,4.32,5.55,0,1,4.71,4.8699,4.2501,15.52,3.91,"36,592,741",JP ENERGY PARTNERS LP UNT REPST LTD
JOUT,22.06,N/A,"instrument=JOUT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.74%,"31,813",-.39,16.03,28.19,0,1,21.938,22.61,21.85,35.29,20.32,"9,982,994",JOHNSON OUTDOORS INC COM - CL A
JONE,2.95,Downtrend,"instrument=JONE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.34%,"408,381",-.04,2.07,9.75,3,1,3.07,3.07,2.78,12.595,2.875,"61,792,283",JONES ENERGY INC CLASS A COM
JOEZ,.1757,N/A,"instrument=JOEZ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.33%,"106,214",-.0042,.1251,.1900,10,1,.1800,.1800,.1700,.5700,.0808,"69,968,208",JOE'S JEANS INC COM
JOBS,27.85,Range Bound,"instrument=JOBS
trend=[null, RED, GREEN, GREEN, RED, RED, GREEN, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+3.42%,"243,504",+.92,25.01,32.63,1,1,26.99,28.26,26.99,37.77,22.23,"58,745,781",51JOBS INC ADR
JNPR,26.25,Range Bound,"instrument=JNPR
trend=[null, RED, GREEN, RED, GREEN, RED, RED, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.92%,"4,664,696",+.24,26.06,26.25,1,1,26.29,26.335,25.69,32.39,21.24,"385,852,230",JUNIPER NETWORKS INC COM
JMLP,5.76,N/A,"instrument=JMLP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.37%,"121,656",-.14,5.04,6.77,179,1,6.04,6.21,5.5208,17.39,6.46,0,NUVEEN ALL CAP ENERGY MLP OPPORTUNITIES FUND
JMEI,7.60,Downtrend,"instrument=JMEI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+7.95%,"3,926,335",+.56,7.15,7.68,10,1,7.18,7.62,6.94,28.17,6.97,"145,205,130",JUMEI INTL HLDG LTD ADR
JMBA,12.57,Range Bound,"instrument=JMBA
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-2.33%,"170,894",-.30,10.44,13.09,1,1,12.98,13.15,12.46,16.89,12.35,"15,042,847",JAMBA INC COM
JIVE,3.79,Downtrend,"instrument=JIVE
trend=[null, RED, GREEN, RED, GREEN, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.61%,"356,701",+.06,3.66,4.13,1,30,3.75,3.97,3.66,6.33,3.51,"75,890,197",JIVE SOFTWARE INC COM
JCAP,14.41,N/A,"instrument=JCAP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.57%,"37,835",-.23,13.95,14.49,7,0,14.94,14.95,14.41,21.99,13.79,"6,162,500",JERNIGAN CAPITAL INC COM
JBLU,20.88,Range Bound,"instrument=JBLU
trend=[GREEN, GREEN, RED, RED, GREEN, RED, GREEN, GREEN, RED, RED]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.90%,"6,036,520",+.39,20.76,20.88,6,6,20.77,20.93,20.36,27.36,14.13,"315,060,520",JETBLUE AIRWAYS CORP COM
JASO,8.64,Downtrend,"instrument=JASO
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",0.00%,"1,021,356",0,8.58,8.67,10,1,8.70,8.77,8.50,10.80,6.30,"50,460,383",JA SOLAR HOLDINGS CO ADR
JAMN,.0940,N/A,"instrument=JAMN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.08%,"210,201",-.004,.0905,.0950,"10,000","10,000",.0920,.0979,.0901,.3100,.0575,"125,567,647",JAMMIN JAVA CORP COM
JAKK,7.58,Range Bound,"instrument=JAKK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.93%,"194,380",+.07,6.28,8.89,1,1,7.54,7.64,7.38,10.28,5.70,"22,373,094",JAKKS PACIFIC INC COM
JAGX,3.50,N/A,"instrument=JAGX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+24.56%,"110,795",+.69,2.35,10.00,1,5,2.891,3.70,2.89,7.06,1.6899,"8,124,923",JAGUAR ANIMAL HEALTH INC COM
IXYS,11.19,Range Bound,"instrument=IXYS
trend=[null, GREEN, RED, GREEN, RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.27%,"120,786",+.14,10.00,11.99,2,1,11.18,11.22,10.82,16.755,10.00,"31,460,311",IXYS CORP COM
IWSY,1.1900,N/A,"instrument=IWSY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"92,546",0,1.1500,1.1900,100,100,1.2000,1.2200,1.1300,2.2900,.9000,"94,070,895",IMAGEWARE SYSTEMS INC COM
IVTY,7.85,N/A,"instrument=IVTY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.48%,"55,282",+.19,7.83,7.86,0,2,7.70,8.19,7.35,18.18,7.37,"13,306,698",INVUITY INC COM
IVOB,.5699,N/A,"instrument=IVOB
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.39%,"64,784",-.02,.5200,.5699,"1,000","1,000",.5300,.5749,.5051,1.4900,.1000,"83,076,142",INVO BIOSCIENCE INC COM
ITUB,6.11,Range Bound,"instrument=ITUB
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.50%,"11,109,524",+.09,6.01,6.24,19,19,6.13,6.16,5.99,12.418181,5.95,"5,950,089,200",ITAU UNIBANCO HOLDING S.A. ADR
ITKG,.4000,N/A,"instrument=ITKG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.76%,"78,704",-.02,.3800,.4400,"5,000","3,000",.4200,.4200,.4000,.8500,.3800,"116,966,778",INTEGRAL TECHNOLOGIES INC COM
ITEK,9.01,Downtrend,"instrument=ITEK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.35%,"109,467",+.12,8.55,10.94,3,1,8.94,9.33,8.62,19.45,4.68,"26,410,251",INOTEK PHARMACEUTICALS CORP COM
ISLT,.1000,N/A,"instrument=ISLT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-9.09%,"422,083",-.01,.0800,.2000,"10,000","2,500",.1250,.1490,.0900,.3750,.0126,"66,928,724",ISLET SCIENCES INC COM
ISLE,13.36,Range Bound,"instrument=ISLE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.45%,"311,574",-.06,13.01,13.36,1,4,13.49,13.643,13.05,21.43,9.72,"40,728,626",ISLE OF CAPRIS CASINOS INC COM
ISIL,11.67,Range Bound,"instrument=ISIL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.01%,"826,527",+.23,9.88,13.68,2,1,11.55,11.70,11.44,16.39,9.20,"132,518,299",INTERSIL CORP CL-A COM
ISHC,1.20,N/A,"instrument=ISHC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+4.35%,"97,796",+.05,1.10,1.20,"2,700",100,1.06,1.20,.97,1.72,.50,0,INTERNATIONAL SHIPHOLDING CORP COM NEW
ISBC,11.68,Range Bound,"instrument=ISBC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.69%,"3,154,797",+.08,11.64,11.72,1,4,11.70,11.71,11.53,13.13,10.70,"338,522,380",INVESTOR BANCORP INC COM
IRWD,11.02,Range Bound,"instrument=IRWD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.96%,"1,619,678",+.42,10.01,11.30,5,100,10.64,11.24,10.55,17.11,9.77,"142,782,700",IRONWOOD PHARMACEUTICALS INC COM
IRMD,22.48,N/A,"instrument=IRMD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.67%,"128,783",+.37,16.45,29.11,0,5,22.44,22.91,22.101,33.25,13.11,"11,069,400",IRADIMED CORP COM
IRET,6.62,Range Bound,"instrument=IRET
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.78%,"720,348",-.12,5.49,7.76,1,1,6.79,6.81,6.59,8.74,6.469,"122,425,544",INVESTORS REAL ESTATE TRUST COMMON - REIT
IRDM,7.06,Downtrend,"instrument=IRDM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.08%,"1,104,147",-.30,6.49,8.28,1,1,7.49,7.49,6.87,11.36,5.85,"94,949,374",IRIDIUM COMMUNICATIONS INC COM
