Quote on 1/12/16 15:59:08

NYSE AMEX
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
DHY,2.22,N/A,"instrument=DHY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"366,450",0,2.12,2.30,10,1,2.23,2.24,2.205,2.86,2.00,"99,905,798",CREDIT SUISSE HIGH YIELD BD COM
DIT,78.39,N/A,"instrument=DIT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.50%,"1,017",+.3901,75.47,79.00,0,1,76.6461,78.39,76.51,88.10,72.02,"634,741",AMCON DISTRIBUTING COM
DLA,13.82,N/A,"instrument=DLA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.95%,"2,128",+.13,13.60,19.90,1,2,13.64,13.82,13.60,19.44,8.50,"7,747,579",DELTA APPAREL INC. COM
DMC,<empty>,N/A,"instrument=DMC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,DOCUMENT SECURITIES SYSTEMS COM
DMF,9.46,N/A,"instrument=DMF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.75%,"44,380",+.07,6.95,9.79,15,21,9.42,9.46,9.37,10.10,8.63,"20,723,399",DREYFUS MUN INCOME INC COM
DNN,.4270,Range Bound,"instrument=DNN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.84%,"468,580",-.0125,.3900,.4680,12,62,.4518,.4518,.4185,.9900,.3500,"518,438,670",DENISON MINES CORP COM
DPW,.52,N/A,"instrument=DPW
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+4.00%,"1,806",+.02,.41,.65,1,18,.50,.52,.50,1.35,.4578,"6,775,971",DIGITAL POWER CORP COM
DRJ,<empty>,N/A,"instrument=DRJ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,"Dreams, Inc."
DXR,7.4001,N/A,"instrument=DXR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.67%,334,-.0499,7.35,8.90,0,1,7.7388,7.7388,7.4001,9.1799,5.40,"3,896,284",DAXOR CORP COM
EAD,7.33,N/A,"instrument=EAD
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.68%,"204,310",-.05,7.11,7.33,2,1,7.37,7.39,7.33,9.088,6.95,"70,983,001",WELLS FARGO INCOME OPPORTUNITIES FUND
EAG,<empty>,N/A,"instrument=EAG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,AMERICAN DEFENSE SYSTEMS INC COM
EAR,<empty>,N/A,"instrument=EAR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,"HearUSA, Inc. Common Stock"
ECF,7.35,N/A,"instrument=ECF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.14%,"30,313",-.01,7.37,7.38,1,18,7.40,7.41,7.27,9.288,7.32,"12,798,717",ELLSWORTH GROWTH & INCOME FD L COM
EGAS,8.25,Uptrend,"instrument=EGAS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.36%,"46,770",+.19,8.07,8.99,0,3,8.06,8.35,8.06,10.97,6.50,"10,504,734",GAS NATURAL INC COM
EGI,.2006,Downtrend,"instrument=EGI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.00%,"130,063",-.0041,.1900,.3900,3,3,.2003,.2099,.2000,.5090,.0812,"147,093,420",ENTREE GOLD INC COM
EGT,2.05,N/A,"instrument=EGT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.49%,"1,801",+.03,.01,199999.99,0,1,1.7801,2.089,1.7801,3.00,1.40,"14,464,220",ENTERTAINMENT GAMING ASIA INC COM
EGX,<empty>,N/A,"instrument=EGX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ENGEX INC COM
EIA,12.72,N/A,"instrument=EIA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.16%,"15,062",-.02,12.37,12.96,13,13,12.76,12.90,12.6301,13.69,11.74,"3,885,759",EATON VANCE CALI MUNI BD FD II COM
EIM,13.13,N/A,"instrument=EIM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.31%,"107,572",+.04,12.76,13.37,20,25,13.10,13.16,13.07,13.35,11.93,"68,168,250",EATON VANCE MUN BOND CLOSED END FUND
EIO,14.23,N/A,"instrument=EIO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.14%,"3,707",-.02,13.45,14.25,12,0,14.12,14.23,14.12,14.40,12.08,"2,536,999",EATON VANCE OH MUNI BOND FUND CLOSED-END FUND
EIP,13.43,N/A,"instrument=EIP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.96%,"2,998",-.13,13.12,13.59,12,1,13.49,13.52,13.41,13.78,11.87,"2,960,040",EATON VANCE PA MUNI BOND FUND COM
EIV,13.15,N/A,"instrument=EIV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.27%,"15,849",+.035,13.06,13.48,0,13,13.07,13.16,13.07,13.49,11.92,"10,013,381",EATON VANCE MUNICIPAL BD FD II COM
ELC,<empty>,N/A,"instrument=ELC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,EASTERN LIGHT CAPITAL INC COM
EMAN,1.80,Uptrend,"instrument=EMAN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.45%,"29,199",+.06,1.31,1.83,200,1,1.67,1.80,1.67,3.74,1.26,"25,517,121",EMAGIN CORPORATION COM
EMI,13.06,N/A,"instrument=EMI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.15%,"5,200",-.02,12.90,13.36,13,13,13.01,13.0899,13.01,13.3412,12.26,"2,033,894",EATON VANCE MI MUNI INC TR COM
EMJ,13.95,N/A,"instrument=EMJ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.36%,"7,440",-.05,13.89,14.44,0,12,14.08,14.08,13.88,14.93,12.31,"2,578,988",EATON VANCE NJ MUNI BOND FUND COM
EML,17.14,N/A,"instrument=EML
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.55%,"21,463",-.63,17.03,26.57,1,1,17.82,17.87,17.04,20.67,15.75,"6,246,412",EASTERN CO COM
ENA,<empty>,N/A,"instrument=ENA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ENOVA SYSTEMS INC COM
ENX,13.03,N/A,"instrument=ENX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.54%,"43,254",+.07,12.86,13.32,13,13,13.03,13.05,12.95,13.17,12.22,"15,658,585",EATON VANCE NEW YORK MUNICIPAL BOND FUND
EPM,4.01,Downtrend,"instrument=EPM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.75%,"133,143",-.20,3.85,4.01,6,0,4.35,4.37,3.96,8.10,4.02,"32,670,342",EVOLUTION PETROLEUM CORP COM
ERC,11.288,N/A,"instrument=ERC
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.98%,"83,401",-.112,11.12,11.74,1,1,11.37,11.37,11.25,13.77,10.53,"42,055,000",WELLS FARGO MULTI-SECTOR INCOME FUND
ERH,11.44,N/A,"instrument=ERH
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.09%,"14,841",+.01,11.35,12.00,8,10,11.43,11.45,11.36,14.00,10.30,"9,232,832",WELLS FARGO UTILITIES & HIGH INCOME FUND
ESA,<empty>,N/A,"instrument=ESA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ENERGY SERVICES OF AMER CORP COM
ESA/U,<empty>,N/A,"instrument=ESA/U
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ENERGY SERVICES OF AMER CORP UNITS
ESA/WS,<empty>,N/A,"instrument=ESA/WS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ENERGY SERVICES OF AMER CORP WTS
ESP,25.79,N/A,"instrument=ESP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.04%,311,-.01,25.50,25.80,2,3,25.80,25.80,25.79,31.50,21.93,"2,349,184",ESPEY MFG & ELECTRS CORP COM
ETF,12.718,N/A,"instrument=ETF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,11.78,13.30,0,0,0,0,0,14.9599,12.02,"9,765,000",ABERDEEN EMRG MKTS SM CO OP FD COM
EV,28.78,Range Bound,"instrument=EV
trend=[null, GREEN, RED, GREEN, GREEN, RED, GREEN, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.05%,"1,325,219",+.30,28.61,28.77,2,1,28.72,29.02,28.13,44.18,28.175,"115,885,563",EATON VANCE CORP COM NON VTG
EVBN,25.00,N/A,"instrument=EVBN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,31,0,25.00,25.97,2,9,0,0,0,26.10,22.75,"4,255,301",EVANS BANCORP INC COM
EVI,4.08,N/A,"instrument=EVI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.00%,"2,733",+.08,3.62,4.08,2,1,4.00,4.08,4.00,5.65,2.17,"7,033,732",ENVIROSTAR INC COM
EVJ,12.70,N/A,"instrument=EVJ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.36%,"8,033",+.17,12.54,12.92,0,13,12.47,12.70,12.47,13.29,11.60,"4,644,158",EATON VANCE N.J. MUNI INCOME COM
EVK,2.1235,N/A,"instrument=EVK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-6.45%,"13,840",-.1465,1.6700,2.1100,4,0,2.1200,2.1300,1.6200,6.9390,1.8300,"14,785,868",EVER-GLORY INTL GROUP INC COM
EVM,12.28,N/A,"instrument=EVM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"40,586",0,11.34,12.50,10,19,12.32,12.33,12.22,12.41,11.12,"21,391,186",EATON VANCE CALI MUN BOND CLOSED END FUND
EVO,14.09,N/A,"instrument=EVO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.64%,"19,169",-.382,14.08,14.41,0,1,14.02,14.27,14.02,15.18,13.09,"2,857,157",EATON VANCE OHIO MUNI INC CLOSED END
EVP,12.13,N/A,"instrument=EVP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.49%,"1,563",-.0594,12.00,12.43,14,14,12.15,12.25,12.13,12.73,11.51,"2,652,114",EATON VANCE PA MUNICIPAL INC COM
EVV,12.45,N/A,"instrument=EVV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.31%,"349,816",-.0383,10.46,12.85,1,1,12.52,12.57,12.41,14.69,11.00,"116,253,018",EATON VANCE LTD DURATION FD CLOSED-END FUND
EVY,14.0399,N/A,"instrument=EVY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.66%,"5,014",+.0916,13.71,14.21,12,12,14.02,14.04,13.95,14.19,13.09,"5,475,356",EATON VANCE NY MUNI INCOME TRUST
FAX,4.46,N/A,"instrument=FAX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.22%,"858,060",-.01,4.32,4.50,1,40,4.52,4.54,4.45,5.72,4.35,"267,407,930",ABERDEEN ASIA-PAC PRIME INC COM
FCO,7.52,N/A,"instrument=FCO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.27%,"29,270",+.02,7.46,7.52,6,1,7.60,7.6029,7.50,9.84,7.39,"8,844,758",ABERDEEN GLOBAL INCOME FUND COM
FEN,20.36,N/A,"instrument=FEN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-4.50%,"289,133",-.96,16.89,23.85,1,1,21.55,22.25,19.98,36.759,18.5577,"19,355,214",FIRST TRUST ENERGY I & G  FUND CLOSED-END FUND
FFI,<empty>,N/A,"instrument=FFI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,FORTUNE INDUSTRIES INC COM
FLL,1.50,N/A,"instrument=FLL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-6.83%,"33,725",-.11,1.46,1.72,1,2,1.6222,1.64,1.50,1.79,1.10,"18,969,396",FULL HOUSE RESORTS INC COM
FOH,<empty>,N/A,"instrument=FOH
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,FREDERCKS OF HOLLYWOOD GRP INC COM
FPP,.610,N/A,"instrument=FPP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.17%,"1,953",-.02,.562,1.110,0,10,.580,.670,.580,2.500,.500,"8,880,101",FIELDPOINT PETROLEUM CORP COM
FRD,4.90,N/A,"instrument=FRD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-2.20%,"9,009",-.11,4.90,9.88,0,1,4.99,4.99,4.89,6.9499,4.97,"6,799,444",FRIEDMAN INDS INC COM
FRS,33.97,N/A,"instrument=FRS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,33.86,34.00,0,0,0,0,0,35.14,24.80,"5,132,000",FRISCHS RESTAURANTS INC CSH MRG $34.00/SH 8/25/15
FSI,.9699,N/A,"instrument=FSI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"11,959",0,.9008,.9948,10,128,.9524,.9900,.9331,2.8600,.6600,"13,177,991",FLEXIBLE SOLUTIONS INTL INC COM
FSP,10.00,Range Bound,"instrument=FSP
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.86%,"374,303",-.19,8.29,11.63,1,10,10.24,10.43,9.92,13.60,9.445,"100,187,405",FRANKLIN STREET PPTYS CORP COM
FTF,10.63,N/A,"instrument=FTF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.09%,"291,882",+.01,8.82,10.98,1,23,10.67,10.77,10.62,12.42,10.18,"26,835,650",FRANKLIN LTD DURTN INC TR REIT
FWV,17.20,N/A,"instrument=FWV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,17.20,19.61,0,0,0,0,0,24.552,17.20,"1,728,730",FIRST WEST VIRGINIA BANCORP COM
GBG,<empty>,N/A,"instrument=GBG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,GREAT BASIN GOLD LTD CM
